feature,mean_abs_shap_cv,mean_abs_shap_full
T_JJA_std_C,0.069855,0.07029904
P_JJA_mm,0.053493,0.04595056
slope_deg,0.02744,0.02765622
zmean_m,0.026827,0.026601106
precip_winter_frac,0.025814,0.020802287
continentality,0.020682,0.020745436
P_SON_mm,0.018768,0.020173162
T_ann_lapse_C,0.016977,0.011404055
T_JJA_trend_C_dec,0.014086,0.011278128
T_MAM_C,0.01393,0.015029824
P_std_mm,0.013087,0.011586475
elev_range_m,0.012781,0.01350542
area_km2,0.012385,0.012635777
T_JJA_lapse_C,0.012239,0.012605072
P_trend_mm_dec,0.011224,0.009943772
cryo_balance,0.011134,0.00707007
melt_index,0.010252,0.010418406
P_trend_x_wfrac,0.009892,0.006012762
T_std_C,0.009656,0.0070954002
T_JJA_max_C,0.009305,0.0121822925
T_trend_C_dec,0.008752,0.0071606347
P_mean_mm,0.007453,0.007856008
aspect_cos,0.006937,0.0069560916
P_MAM_mm,0.006863,0.007863753
P_snow_mm,0.006799,0.0057181385
T_JJA_C,0.00644,0.0052738213
P_DJF_mm,0.006119,0.0052403393
T_DJF_C,0.005369,0.008014432
T_mean_C,0.005211,0.0025585508
T_DJF_min_C,0.004722,0.0039749756
T_SON_C,0.004698,0.007893927
aspect_sin,0.003749,0.003463873
log_area_km2,0.002681,0.0021143719
