subregion,ood_pct_90th,ood_pct_95th,ood_pct_97.5th,ood_pct_99th
C_Himalaya,33.3,14.7,7.8,2.6
C_Tian_Shan,5.0,3.3,2.0,0.3
E_Himalaya,48.3,28.3,17.3,8.1
E_Pamir,3.0,1.2,0.6,0.2
Hengduan_Shan_N,12.2,8.3,4.4,1.4
Hindu_Kush,5.2,2.9,0.9,0.6
Inner_Tibet,6.7,3.9,1.1,0.7
Karakoram,8.9,3.6,2.4,1.2
Kunlun,1.8,0.1,0.0,0.0
N_Tian_Shan,2.4,0.3,0.1,0.0
Pamir_Alay,58.2,26.5,0.4,0.0
Qilian_Shan,0.5,0.1,0.0,0.0
W_Himalaya,5.3,0.8,0.2,0.1
W_Nepal,18.0,11.4,3.9,0.7
W_Pamir,2.7,0.8,0.5,0.2
HMA-wide,10.0,5.0,2.5,1.0
