feature,rf_perm_importance
P_JJA_mm,0.065487
T_JJA_std_C,0.037358
zmean_m,0.033366
precip_winter_frac,0.022853
slope_deg,0.02274
P_snow_mm,0.00525
P_SON_mm,0.00452
T_ann_lapse_C,0.003336
P_std_mm,0.002891
T_JJA_lapse_C,0.002729
T_JJA_max_C,0.002248
P_mean_mm,0.002147
melt_index,0.002091
T_DJF_min_C,0.002024
T_trend_C_dec,0.001813
elev_range_m,0.001657
P_DJF_mm,0.001612
cryo_balance,0.001492
T_JJA_C,0.000643
T_MAM_C,0.000638
P_MAM_mm,0.000637
log_area_km2,0.000623
area_km2,0.000488
aspect_cos,0.000353
aspect_sin,0.000272
T_mean_C,-0.00126
T_SON_C,-0.001313
continentality,-0.001315
T_DJF_C,-0.001455
T_std_C,-0.001956
T_JJA_trend_C_dec,-0.005764
P_trend_mm_dec,-0.005825
P_trend_x_wfrac,-0.008591
