feature,mean_abs_shap,std_abs_shap,cv_pct
T_JJA_std_C,0.066951,0.002927,4.4
P_JJA_mm,0.048428,0.003794,7.8
slope_deg,0.028179,0.001215,4.3
zmean_m,0.026795,0.000953,3.6
P_SON_mm,0.020884,0.00216,10.3
precip_winter_frac,0.019584,0.001729,8.8
continentality,0.019091,0.001243,6.5
T_MAM_C,0.015767,0.002159,13.7
T_ann_lapse_C,0.013117,0.001428,10.9
elev_range_m,0.013025,0.00125,9.6
area_km2,0.012758,0.002191,17.2
T_JJA_lapse_C,0.012608,0.00153,12.1
T_JJA_max_C,0.012075,0.002578,21.4
T_JJA_trend_C_dec,0.011507,0.000814,7.1
P_std_mm,0.011373,0.000964,8.5
melt_index,0.009711,0.00141,14.5
P_trend_mm_dec,0.009331,0.00094,10.1
cryo_balance,0.008654,0.001554,18.0
T_std_C,0.00818,0.001437,17.6
P_MAM_mm,0.007986,0.001507,18.9
T_trend_C_dec,0.007985,0.00055,6.9
T_DJF_C,0.007777,0.00123,15.8
P_mean_mm,0.007503,0.001085,14.5
T_SON_C,0.007223,0.001638,22.7
aspect_cos,0.0071,0.000913,12.9
T_JJA_C,0.007009,0.001762,25.1
P_trend_x_wfrac,0.006989,0.001057,15.1
P_snow_mm,0.006281,0.000795,12.7
P_DJF_mm,0.005126,0.00075,14.6
aspect_sin,0.004133,0.00035,8.5
T_DJF_min_C,0.004093,0.000734,17.9
T_mean_C,0.003733,0.000864,23.1
log_area_km2,0.002498,0.000449,18.0
