subregion,scenario,window,SMB_hist,SMB_proj,dSMB,suspicious
C_Himalaya,ssp245,2020-2039,-0.411,-0.3517,0.0593,True
C_Tian_Shan,ssp245,2020-2039,-0.2389,-0.4954,-0.2566,False
E_Himalaya,ssp245,2020-2039,-0.4545,-0.3673,0.0872,True
E_Pamir,ssp245,2020-2039,-0.037,-0.3131,-0.2761,False
Hengduan_Shan_N,ssp245,2020-2039,-0.4857,-0.4925,-0.0067,False
Hindu_Kush,ssp245,2020-2039,-0.0657,-0.2714,-0.2056,False
Inner_Tibet,ssp245,2020-2039,-0.1433,-0.2813,-0.138,False
Karakoram,ssp245,2020-2039,0.0251,-0.2171,-0.2422,False
Kunlun,ssp245,2020-2039,-0.0043,-0.264,-0.2597,False
N_Tian_Shan,ssp245,2020-2039,-0.4252,-0.5556,-0.1304,False
Pamir_Alay,ssp245,2020-2039,-0.1301,-0.4562,-0.3261,False
Qilian_Shan,ssp245,2020-2039,-0.2425,-0.3538,-0.1113,False
W_Himalaya,ssp245,2020-2039,-0.1858,-0.3098,-0.124,False
W_Nepal,ssp245,2020-2039,-0.3134,-0.4212,-0.1078,False
W_Pamir,ssp245,2020-2039,-0.046,-0.361,-0.315,False
C_Himalaya,ssp245,2040-2059,-0.411,-0.3601,0.0508,True
C_Tian_Shan,ssp245,2040-2059,-0.2389,-0.5504,-0.3115,False
E_Himalaya,ssp245,2040-2059,-0.4545,-0.3823,0.0722,True
E_Pamir,ssp245,2040-2059,-0.037,-0.3298,-0.2928,False
Hengduan_Shan_N,ssp245,2040-2059,-0.4857,-0.511,-0.0252,False
Hindu_Kush,ssp245,2040-2059,-0.0657,-0.2807,-0.215,False
Inner_Tibet,ssp245,2040-2059,-0.1433,-0.3053,-0.162,False
Karakoram,ssp245,2040-2059,0.0251,-0.2285,-0.2536,False
Kunlun,ssp245,2040-2059,-0.0043,-0.2822,-0.2779,False
N_Tian_Shan,ssp245,2040-2059,-0.4252,-0.5852,-0.16,False
Pamir_Alay,ssp245,2040-2059,-0.1301,-0.4701,-0.34,False
Qilian_Shan,ssp245,2040-2059,-0.2425,-0.3731,-0.1306,False
W_Himalaya,ssp245,2040-2059,-0.1858,-0.3172,-0.1314,False
W_Nepal,ssp245,2040-2059,-0.3134,-0.433,-0.1196,False
W_Pamir,ssp245,2040-2059,-0.046,-0.3733,-0.3273,False
C_Himalaya,ssp245,2060-2079,-0.411,-0.3882,0.0227,True
C_Tian_Shan,ssp245,2060-2079,-0.2389,-0.5722,-0.3334,False
E_Himalaya,ssp245,2060-2079,-0.4545,-0.3887,0.0658,True
E_Pamir,ssp245,2060-2079,-0.037,-0.3452,-0.3082,False
Hengduan_Shan_N,ssp245,2060-2079,-0.4857,-0.5299,-0.0442,False
Hindu_Kush,ssp245,2060-2079,-0.0657,-0.2772,-0.2115,False
Inner_Tibet,ssp245,2060-2079,-0.1433,-0.3209,-0.1776,False
Karakoram,ssp245,2060-2079,0.0251,-0.2452,-0.2703,False
Kunlun,ssp245,2060-2079,-0.0043,-0.2974,-0.2931,False
N_Tian_Shan,ssp245,2060-2079,-0.4252,-0.6236,-0.1983,False
Pamir_Alay,ssp245,2060-2079,-0.1301,-0.4649,-0.3348,False
Qilian_Shan,ssp245,2060-2079,-0.2425,-0.3915,-0.149,False
W_Himalaya,ssp245,2060-2079,-0.1858,-0.3297,-0.1439,False
W_Nepal,ssp245,2060-2079,-0.3134,-0.4778,-0.1644,False
W_Pamir,ssp245,2060-2079,-0.046,-0.3897,-0.3437,False
C_Himalaya,ssp245,2080-2099,-0.411,-0.3814,0.0296,True
C_Tian_Shan,ssp245,2080-2099,-0.2389,-0.6001,-0.3612,False
E_Himalaya,ssp245,2080-2099,-0.4545,-0.382,0.0725,True
E_Pamir,ssp245,2080-2099,-0.037,-0.3595,-0.3225,False
Hengduan_Shan_N,ssp245,2080-2099,-0.4857,-0.5374,-0.0517,False
Hindu_Kush,ssp245,2080-2099,-0.0657,-0.2942,-0.2284,False
Inner_Tibet,ssp245,2080-2099,-0.1433,-0.3395,-0.1962,False
Karakoram,ssp245,2080-2099,0.0251,-0.2548,-0.2799,False
Kunlun,ssp245,2080-2099,-0.0043,-0.3043,-0.3,False
N_Tian_Shan,ssp245,2080-2099,-0.4252,-0.6509,-0.2257,False
Pamir_Alay,ssp245,2080-2099,-0.1301,-0.4876,-0.3575,False
Qilian_Shan,ssp245,2080-2099,-0.2425,-0.3986,-0.1561,False
W_Himalaya,ssp245,2080-2099,-0.1858,-0.3324,-0.1466,False
