subregion,SMB_hist,SMB_ssp245_2020-2039_ensmean,SMB_ssp245_2040-2059_ensmean,SMB_ssp245_2060-2079_ensmean,SMB_ssp245_2080-2099_ensmean,SMB_ssp585_2020-2039_ensmean,SMB_ssp585_2040-2059_ensmean,SMB_ssp585_2060-2079_ensmean,SMB_ssp585_2080-2099_ensmean
C_Himalaya,-0.4109544579858884,-0.35166514,-0.36010537,-0.38820562,-0.38136625,-0.3481282,-0.3682674,-0.39241195,-0.38868126
C_Tian_Shan,-0.23885518967841324,-0.49541327,-0.55037355,-0.572227,-0.600055,-0.49373227,-0.57759094,-0.6224126,-0.65686077
E_Himalaya,-0.4544730551933942,-0.36727083,-0.38227203,-0.3886778,-0.38199922,-0.3673738,-0.38146284,-0.39037538,-0.39635795
E_Pamir,-0.036976388168137,-0.31305683,-0.32982317,-0.34516555,-0.35952225,-0.30872747,-0.34849185,-0.37447646,-0.4090656
Hengduan_Shan_N,-0.48572779992751,-0.49247372,-0.5109528,-0.52992946,-0.53739154,-0.4878891,-0.5261382,-0.5515466,-0.5794156
Hindu_Kush,-0.06574558149683614,-0.27135497,-0.28071463,-0.27720976,-0.29418465,-0.2657781,-0.31785575,-0.33686796,-0.38357678
Inner_Tibet,-0.14330582674724934,-0.28133526,-0.3053177,-0.3208602,-0.339543,-0.2776543,-0.31925353,-0.36259207,-0.40821698
Karakoram,0.025109297520661156,-0.21705389,-0.22846878,-0.24520916,-0.25475675,-0.21688467,-0.24290603,-0.27440715,-0.30554026
Kunlun,-0.004308923076923078,-0.26397616,-0.2822022,-0.29737717,-0.30432978,-0.26068074,-0.29123664,-0.34368348,-0.41347605
N_Tian_Shan,-0.4252313468992248,-0.55559677,-0.58520836,-0.6235747,-0.650901,-0.5639528,-0.6290695,-0.6951274,-0.7372537
Pamir_Alay,-0.1300978647686833,-0.45615482,-0.47012395,-0.4648703,-0.4875738,-0.4714528,-0.4730294,-0.48312518,-0.47832295
Qilian_Shan,-0.24248881554822152,-0.35381272,-0.37306884,-0.3914534,-0.39860958,-0.35163954,-0.36996633,-0.4158902,-0.45058396
W_Himalaya,-0.18579277067637348,-0.309811,-0.31716263,-0.32966635,-0.3324224,-0.2882176,-0.32384017,-0.35995868,-0.36706787
W_Nepal,-0.3134494964028777,-0.42120683,-0.43303278,-0.47784555,-0.44790074,-0.37915248,-0.416417,-0.48692256,-0.50015163
W_Pamir,-0.0460145262462859,-0.36101526,-0.37330946,-0.3896812,-0.40222752,-0.36410967,-0.38477713,-0.41770655,-0.43932644
