model,scenario,window,delta_smb_original,delta_smb_var_pres,difference
IPSL-CM6A-LR,ssp245,2020-2039,-0.1638,-0.0168,0.147
IPSL-CM6A-LR,ssp245,2040-2059,-0.1831,-0.0222,0.1608
IPSL-CM6A-LR,ssp245,2060-2079,-0.2006,-0.0346,0.1661
IPSL-CM6A-LR,ssp245,2080-2099,-0.211,-0.0446,0.1664
IPSL-CM6A-LR,ssp585,2020-2039,-0.1586,-0.0085,0.1502
IPSL-CM6A-LR,ssp585,2040-2059,-0.1973,-0.0347,0.1626
IPSL-CM6A-LR,ssp585,2060-2079,-0.2336,-0.0496,0.184
IPSL-CM6A-LR,ssp585,2080-2099,-0.2612,-0.0629,0.1983
MIROC6,ssp245,2020-2039,-0.1638,-0.0143,0.1495
MIROC6,ssp245,2040-2059,-0.1831,-0.0312,0.1519
MIROC6,ssp245,2060-2079,-0.2006,-0.0409,0.1598
MIROC6,ssp245,2080-2099,-0.211,-0.0451,0.1659
MIROC6,ssp585,2020-2039,-0.1586,-0.019,0.1396
MIROC6,ssp585,2040-2059,-0.1973,-0.0361,0.1612
MIROC6,ssp585,2060-2079,-0.2336,-0.0484,0.1851
MIROC6,ssp585,2080-2099,-0.2612,-0.0607,0.2005
MPI-ESM1-2-LR,ssp245,2020-2039,-0.1638,-0.0064,0.1574
MPI-ESM1-2-LR,ssp245,2040-2059,-0.1831,-0.0129,0.1701
MPI-ESM1-2-LR,ssp245,2060-2079,-0.2006,-0.0177,0.1829
MPI-ESM1-2-LR,ssp245,2080-2099,-0.211,-0.0217,0.1893
MPI-ESM1-2-LR,ssp585,2020-2039,-0.1586,-0.0073,0.1513
MPI-ESM1-2-LR,ssp585,2040-2059,-0.1973,-0.0143,0.183
MPI-ESM1-2-LR,ssp585,2060-2079,-0.2336,-0.0367,0.1968
MPI-ESM1-2-LR,ssp585,2080-2099,-0.2612,-0.0509,0.2104
