subregion,n,r2,rmse,smb_std,mean_residual,mean_perc_debris
C_Himalaya,4677,-0.036,0.3309,0.3251,-0.1072,18.0
C_Tian_Shan,10386,-0.026,0.3959,0.3908,-0.1213,14.0
E_Himalaya,4602,-0.043,0.492,0.4819,0.0766,20.8
E_Pamir,3854,-0.268,0.242,0.215,-0.0383,14.5
Hengduan_Shan_N,5518,-0.046,0.4499,0.4399,0.0987,17.8
Hindu_Kush,4583,0.032,0.2674,0.2719,-0.0018,18.8
Inner_Tibet,12906,0.181,0.2647,0.2925,-0.0369,3.9
Karakoram,14520,-0.072,0.3,0.2898,-0.0729,9.9
Kunlun,1625,-0.008,0.215,0.2143,-0.0764,2.9
N_Tian_Shan,4128,-0.248,0.4722,0.4228,0.2083,7.8
Pamir_Alay,562,0.005,0.3729,0.3741,-0.0265,7.5
Qilian_Shan,2727,-0.365,0.2963,0.2537,0.1671,3.4
W_Himalaya,11813,0.067,0.2575,0.2666,0.0317,13.1
W_Nepal,3475,-0.059,0.3421,0.3326,-0.1416,24.7
W_Pamir,9087,-0.17,0.2547,0.2355,-0.025,14.4
