Sub-region,n,Mean SMB,$\sigma$ SMB,XGBoost $R^2$,RMSE,MAE
Hengduan Shan N.,5518,-0.486,0.44,-0.0459,0.4499,0.3376
E. Himalaya,4602,-0.454,0.482,-0.0425,0.492,0.366
N. Tian Shan,4128,-0.425,0.423,-0.248,0.4722,0.3605
C. Himalaya,4677,-0.411,0.325,-0.0362,0.3309,0.2546
W. Nepal,3475,-0.313,0.333,-0.0587,0.3421,0.2651
Qilian Shan,2727,-0.242,0.254,-0.365,0.2963,0.2367
C. Tian Shan,10386,-0.239,0.391,-0.0264,0.3959,0.2976
W. Himalaya,11813,-0.186,0.267,0.0667,0.2575,0.195
Inner Tibet,12906,-0.143,0.293,0.1809,0.2647,0.204
Pamir-Alay,562,-0.13,0.374,0.0048,0.3729,0.2459
Hindu Kush,4583,-0.066,0.272,0.0321,0.2674,0.199
W. Pamir,9087,-0.046,0.235,-0.1701,0.2547,0.187
E. Pamir,3854,-0.037,0.215,-0.2677,0.242,0.1827
Kunlun,1625,-0.004,0.214,-0.0079,0.215,0.1668
Karakoram,14520,0.025,0.29,-0.0719,0.3,0.215
