Sub-region,Hist.\ SMB (2000--2014),$\Delta$ SSP2-4.5 2020-2039,$\Delta$ SSP2-4.5 2040-2059,$\Delta$ SSP2-4.5 2060-2079,$\Delta$ SSP2-4.5 2080-2099,$\Delta$ SSP5-8.5 2020-2039,$\Delta$ SSP5-8.5 2040-2059,$\Delta$ SSP5-8.5 2060-2079,$\Delta$ SSP5-8.5 2080-2099
Hengduan Shan N.,-0.486,-0.007,-0.025,-0.044,-0.052,-0.002,-0.04,-0.066,-0.094
E. Himalaya,-0.454,0.087,0.072,0.066,0.072,0.087,0.073,0.064,0.058
N. Tian Shan,-0.425,-0.13,-0.16,-0.198,-0.226,-0.139,-0.204,-0.27,-0.312
C. Himalaya,-0.411,0.059,0.051,0.023,0.03,0.063,0.043,0.019,0.022
W. Nepal,-0.313,-0.108,-0.12,-0.164,-0.134,-0.066,-0.103,-0.173,-0.187
Qilian Shan,-0.242,-0.111,-0.131,-0.149,-0.156,-0.109,-0.127,-0.173,-0.208
C. Tian Shan,-0.239,-0.257,-0.312,-0.333,-0.361,-0.255,-0.339,-0.384,-0.418
W. Himalaya,-0.186,-0.124,-0.131,-0.144,-0.147,-0.102,-0.138,-0.174,-0.181
Inner Tibet,-0.143,-0.138,-0.162,-0.178,-0.196,-0.134,-0.176,-0.219,-0.265
Pamir-Alay,-0.13,-0.326,-0.34,-0.335,-0.357,-0.341,-0.343,-0.353,-0.348
Hindu Kush,-0.066,-0.206,-0.215,-0.211,-0.228,-0.2,-0.252,-0.271,-0.318
W. Pamir,-0.046,-0.315,-0.327,-0.344,-0.356,-0.318,-0.339,-0.372,-0.393
E. Pamir,-0.037,-0.276,-0.293,-0.308,-0.323,-0.272,-0.312,-0.338,-0.372
Kunlun,-0.004,-0.26,-0.278,-0.293,-0.3,-0.256,-0.287,-0.339,-0.409
Karakoram,0.025,-0.242,-0.254,-0.27,-0.28,-0.242,-0.268,-0.3,-0.331
